地域コード	地域	人口	面積（km2）	人口密度（1km2当たり）	世帯数
10000	群馬県	1973115	6362.28	310.1	773952
10001	市部	1678998	2892.74	580.4	661772
10002	郡部	294117	3469.55	84.8	112180
10201	前橋市	336154	311.59	1078.8	136900
10202	高崎市	370884	459.16	807.7	150180
10203	桐生市	114714	274.45	418	46034
10204	伊勢崎市	208814	139.44	1497.5	80110
10205	太田市	219807	175.54	1252.2	86267
10206	沼田市	48676	443.46	109.8	19178
10207	館林市	76667	60.97	1257.5	30219
10208	渋川市	78391	240.27	326.3	28812
10209	藤岡市	65708	180.29	364.5	24569
10210	富岡市	49746	122.85	404.9	18255
10211	安中市	58531	276.31	211.8	22381
10212	みどり市	50906	208.42	244.2	18867
10340	北群馬郡	35409	48.38	731.9	12176
10344	榛東村	14329	27.92	513.2	4887
10345	吉岡町	21080	20.46	1030.3	7289
10360	多野郡	3184	296.44	10.7	1481
10366	上野村	1230	181.85	6.8	578
10367	神流町	1954	114.6	17.1	903
